,FEvals,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
0,150,40.0,0,0.4,150,"[15, 4, 25, 22, 3, 19, 23, 7, 28, 25, 14, 23, 8, 25, 14, 10, 26, 8, 7, 6, 4, 16, 31, 7, 12, 0, 11, 23, 26, 6, 19, 28]",0.11934193200431764,2048
1,302,22.0,1,0.4,150,"[0, 19, 13, 13, 21, 17, 14, 27, 28, 0, 8, 10, 1, 22, 26, 2, 15, 26, 12, 5, 25, 18, 19, 11, 4, 16, 31, 5, 26, 5, 14, 27]",0.24964134800393367,2048
2,454,20.0,2,0.4,150,"[4, 23, 11, 4, 23, 29, 25, 3, 3, 3, 28, 7, 14, 21, 16, 26, 31, 22, 1, 11, 13, 0, 20, 19, 31, 24, 27, 13, 18, 16, 20, 9]",0.37979557500511874,2048
3,756,20.0,4,0.4,150,"[4, 23, 11, 4, 23, 29, 25, 3, 3, 3, 28, 7, 14, 21, 16, 26, 31, 22, 1, 11, 13, 0, 20, 19, 31, 24, 27, 13, 18, 16, 20, 9]",0.6552259420059272,2048
4,1361,19.0,8,0.4,150,"[4, 3, 20, 6, 11, 5, 29, 0, 19, 20, 9, 1, 31, 21, 15, 2, 30, 22, 12, 5, 18, 10, 10, 24, 31, 2, 0, 16, 31, 4, 12, 10]",1.1884529990056762,2048
5,2571,16.0,16,0.4,150,"[3, 25, 8, 16, 25, 9, 20, 27, 4, 12, 9, 28, 31, 19, 12, 30, 4, 27, 26, 1, 10, 2, 29, 24, 13, 8, 21, 11, 0, 26, 6, 17]",2.311313054000493,2048
6,4991,11.0,32,0.4,150,"[7, 19, 0, 29, 25, 5, 20, 27, 8, 12, 22, 3, 6, 22, 4, 30, 24, 27, 1, 30, 28, 1, 9, 24, 13, 2, 17, 23, 0, 26, 15, 10]",4.341719623000245,2048
7,9828,5.0,64,0.4,150,"[7, 19, 11, 8, 25, 5, 20, 27, 14, 12, 22, 3, 31, 26, 21, 30, 15, 27, 1, 30, 28, 2, 16, 24, 13, 2, 4, 23, 0, 26, 6, 10]",8.62409269100317,2048
8,19495,2.0,128,0.4,150,"[9, 19, 0, 8, 25, 5, 20, 11, 14, 12, 22, 3, 31, 29, 21, 30, 15, 27, 1, 30, 28, 18, 16, 24, 13, 2, 4, 23, 0, 17, 6, 10]",16.89142641100625,2048
9,38824,1.0,256,0.4,150,"[9, 19, 0, 8, 25, 5, 20, 11, 14, 12, 22, 3, 31, 29, 21, 30, 15, 27, 1, 21, 28, 18, 16, 24, 13, 2, 4, 7, 23, 17, 6, 10]",33.39397568500135,2048
10,52414,1.0,512,0.4,150,"[9, 19, 0, 8, 25, 5, 20, 11, 14, 12, 22, 3, 31, 29, 21, 30, 15, 27, 1, 21, 28, 18, 16, 24, 13, 2, 4, 7, 23, 17, 6, 10]",45.69212142700417,2048
11,52414,1.0,1024,0.4,150,"[9, 19, 0, 8, 25, 5, 20, 11, 14, 12, 22, 3, 31, 29, 21, 30, 15, 27, 1, 21, 28, 18, 16, 24, 13, 2, 4, 7, 23, 17, 6, 10]",45.69212142700417,2048
12,52414,1.0,2048,0.4,150,"[9, 19, 0, 8, 25, 5, 20, 11, 14, 12, 22, 3, 31, 29, 21, 30, 15, 27, 1, 21, 28, 18, 16, 24, 13, 2, 4, 7, 23, 17, 6, 10]",45.69212142700417,2048
