,FEvals,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,0.0,45.0,0,0.4,150,0.0009408340047230013,2048
1,2.0,56.0,1,0.4,150,0.013881929000490345,2048
2,3.0,56.0,2,0.4,150,0.026981130002241116,2048
3,4.0,56.0,3,0.4,150,0.040249367004435044,2048
4,5.0,56.0,4,0.4,150,0.04850495700520696,2048
5,7.0,58.0,5,0.4,150,0.06223355299880495,2048
6,9.0,60.0,6,0.4,150,0.07071699300286127,2048
7,10.0,60.0,7,0.4,150,0.07894047700392548,2048
8,11.0,60.0,8,0.4,150,0.08747293300257297,2048
9,13.0,61.0,9,0.4,150,0.10130733600090025,2048
10,15.0,63.0,10,0.4,150,0.1099163420003606,2048
11,16.0,63.0,11,0.4,150,0.11816596800053958,2048
12,17.0,63.0,12,0.4,150,0.12635379099810962,2048
13,19.0,64.0,13,0.4,150,0.13479536700469907,2048
14,20.0,64.0,14,0.4,150,0.1430375920026563,2048
15,22.0,65.0,15,0.4,150,0.15160206300060963,2048
16,24.0,67.0,16,0.4,150,0.16003418200125452,2048
17,25.0,67.0,17,0.4,150,0.1739297060048557,2048
18,27.0,68.0,18,0.4,150,0.18227036399912322,2048
19,28.0,68.0,19,0.4,150,0.1904401370047708,2048
20,30.0,69.0,20,0.4,150,0.1988006960018538,2048
21,32.0,70.0,21,0.4,150,0.20719878100499045,2048
22,33.0,70.0,22,0.4,150,0.21547384700534167,2048
23,34.0,70.0,23,0.4,150,0.2236284489990794,2048
24,35.0,70.0,24,0.4,150,0.23179344700474758,2048
25,36.0,70.0,25,0.4,150,0.2399749980031629,2048
26,37.0,70.0,26,0.4,150,0.2481672450012411,2048
27,39.0,72.0,27,0.4,150,0.25657164500444196,2048
28,40.0,72.0,28,0.4,150,0.26471954800217645,2048
29,41.0,72.0,29,0.4,150,0.27297156800341327,2048
30,42.0,72.0,30,0.4,150,0.28111951499886345,2048
31,43.0,72.0,31,0.4,150,0.28925320300186286,2048
32,44.0,72.0,32,0.4,150,0.2978578410038608,2048
33,45.0,72.0,33,0.4,150,0.312308350999956,2048
34,46.0,72.0,34,0.4,150,0.3206529640010558,2048
35,47.0,72.0,35,0.4,150,0.328924528999778,2048
36,48.0,72.0,36,0.4,150,0.337157219000801,2048
37,49.0,72.0,37,0.4,150,0.345415319003223,2048
38,50.0,72.0,38,0.4,150,0.3537156660022447,2048
39,51.0,72.0,39,0.4,150,0.36231007400056114,2048
40,52.0,72.0,40,0.4,150,0.3705737560012494,2048
41,53.0,72.0,41,0.4,150,0.3788294570040307,2048
42,54.0,72.0,42,0.4,150,0.3869454939995194,2048
