,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.004067099999929269,298.0,150.0,150,0.4,2048
1,1,0.023352500000100918,344.0,302.0,150,0.4,2048
2,2,0.036558700000114186,376.0,454.0,150,0.4,2048
3,3,0.05179090000001452,380.0,606.0,150,0.4,2048
4,4,0.0637590999999702,397.0,758.0,150,0.4,2048
5,5,0.07980180000004111,411.0,910.0,150,0.4,2048
6,6,0.08931869999992159,411.0,1061.0,150,0.4,2048
7,7,0.10426780000011604,436.0,1213.0,150,0.4,2048
8,8,0.11553890000004685,436.0,1364.0,150,0.4,2048
9,9,0.13132629999995515,442.0,1516.0,150,0.4,2048
10,10,0.14276969999991707,442.0,1667.0,150,0.4,2048
11,11,0.15328610000005938,442.0,1818.0,150,0.4,2048
12,12,0.16560440000012022,442.0,1969.0,150,0.4,2048
13,13,0.17715180000004693,461.0,2121.0,150,0.4,2048
14,14,0.18948969999996734,461.0,2272.0,150,0.4,2048
15,15,0.20408390000011423,461.0,2423.0,150,0.4,2048
16,16,0.21648000000004686,461.0,2574.0,150,0.4,2048
17,17,0.23353229999997893,462.0,2726.0,150,0.4,2048
18,18,0.2500766000000567,464.0,2878.0,150,0.4,2048
19,19,0.2667639000001145,467.0,3030.0,150,0.4,2048
20,20,0.2811260000000857,467.0,3181.0,150,0.4,2048
21,21,0.2945070000000669,467.0,3332.0,150,0.4,2048
22,22,0.30843030000005456,467.0,3483.0,150,0.4,2048
23,23,0.32620390000010957,477.0,3635.0,150,0.4,2048
24,24,0.3412144999999782,477.0,3786.0,150,0.4,2048
25,25,0.3533875000000535,477.0,3937.0,150,0.4,2048
26,26,0.36596480000002884,477.0,4088.0,150,0.4,2048
27,27,0.3761128999999528,477.0,4239.0,150,0.4,2048
28,28,0.38847359999999753,480.0,4391.0,150,0.4,2048
29,29,0.40141540000013265,480.0,4542.0,150,0.4,2048
30,30,0.4115325000000212,480.0,4693.0,150,0.4,2048
31,31,0.42310569999995096,480.0,4844.0,150,0.4,2048
32,32,0.43493899999998575,481.0,4996.0,150,0.4,2048
33,33,0.450135199999977,481.0,5147.0,150,0.4,2048
34,34,0.46008469999992485,481.0,5298.0,150,0.4,2048
35,35,0.47233150000010937,481.0,5449.0,150,0.4,2048
36,36,0.4845224999999118,481.0,5600.0,150,0.4,2048
37,37,0.49440320000007887,481.0,5751.0,150,0.4,2048
38,38,0.5050539000001208,481.0,5902.0,150,0.4,2048
39,39,0.5152966000000561,481.0,6053.0,150,0.4,2048
40,40,0.5263876000001346,481.0,6204.0,150,0.4,2048
41,41,0.5373971000001347,481.0,6355.0,150,0.4,2048
42,42,0.5462531999999101,481.0,6506.0,150,0.4,2048
43,43,0.5580039000001307,483.0,6658.0,150,0.4,2048
44,44,0.5695534999999836,483.0,6809.0,150,0.4,2048
45,45,0.5798862999999983,483.0,6960.0,150,0.4,2048
46,46,0.5941990999999689,483.0,7111.0,150,0.4,2048
47,47,0.6118859000000612,483.0,7262.0,150,0.4,2048
48,48,0.6304652999999689,483.0,7413.0,150,0.4,2048
49,49,0.6483453999999256,483.0,7564.0,150,0.4,2048
50,50,0.6640663000000586,483.0,7715.0,150,0.4,2048
51,51,0.6821193000000676,483.0,7866.0,150,0.4,2048
52,52,0.6999298000000636,483.0,8017.0,150,0.4,2048
53,53,0.7250300000000607,483.0,8168.0,150,0.4,2048
54,54,0.7424550000000636,483.0,8319.0,150,0.4,2048
55,55,0.753907799999979,483.0,8470.0,150,0.4,2048
56,56,0.7657701000000543,483.0,8621.0,150,0.4,2048
57,57,0.778427899999997,483.0,8772.0,150,0.4,2048
58,58,0.7909184000000096,483.0,8923.0,150,0.4,2048
59,59,0.8011398000001009,483.0,9074.0,150,0.4,2048
60,60,0.8140851000000566,483.0,9225.0,150,0.4,2048
61,61,0.8257940000000872,483.0,9376.0,150,0.4,2048
62,62,0.8352701000001161,483.0,9527.0,150,0.4,2048
63,63,0.847570800000085,483.0,9678.0,150,0.4,2048
64,64,0.8599165000000539,483.0,9829.0,150,0.4,2048
65,65,1.050825100000111,483.0,9980.0,150,0.4,2048
66,66,1.0617248999999447,483.0,10131.0,150,0.4,2048
67,67,1.0723765000000185,483.0,10282.0,150,0.4,2048
68,68,1.0883234000000357,483.0,10433.0,150,0.4,2048
69,69,1.1070922000001246,483.0,10584.0,150,0.4,2048
70,70,1.1354071999999178,483.0,10735.0,150,0.4,2048
71,71,1.1537430999999287,483.0,10886.0,150,0.4,2048
72,72,1.173736799999915,483.0,11037.0,150,0.4,2048
73,73,1.191732600000023,483.0,11188.0,150,0.4,2048
74,74,1.2114340000000539,483.0,11339.0,150,0.4,2048
75,75,1.233075099999951,483.0,11490.0,150,0.4,2048
76,76,1.253210099999933,483.0,11641.0,150,0.4,2048
77,77,1.2728259000000435,483.0,11792.0,150,0.4,2048
78,78,1.2855094999999892,483.0,11943.0,150,0.4,2048
79,79,1.2973460000000614,483.0,12094.0,150,0.4,2048
80,80,1.3100331000000551,483.0,12245.0,150,0.4,2048
81,81,1.3225196999999298,483.0,12396.0,150,0.4,2048
82,82,1.3346257000000605,483.0,12547.0,150,0.4,2048
83,83,1.344124899999997,483.0,12698.0,150,0.4,2048
84,84,1.3555029999999988,483.0,12849.0,150,0.4,2048
85,85,1.3650608000000375,483.0,13000.0,150,0.4,2048
86,86,1.376805000000104,483.0,13151.0,150,0.4,2048
87,87,1.388717799999995,483.0,13302.0,150,0.4,2048
88,88,1.402014300000019,483.0,13453.0,150,0.4,2048
89,89,1.4111551000000873,483.0,13604.0,150,0.4,2048
90,90,1.4234157999999297,483.0,13755.0,150,0.4,2048
91,91,1.4339279999999235,483.0,13906.0,150,0.4,2048
92,92,1.443827199999987,483.0,14057.0,150,0.4,2048
93,93,1.4552075999999943,483.0,14208.0,150,0.4,2048
94,94,1.4653714000000946,483.0,14359.0,150,0.4,2048
95,95,1.475943099999995,483.0,14510.0,150,0.4,2048
96,96,1.4869582999999693,483.0,14661.0,150,0.4,2048
97,97,1.4967421999999715,483.0,14812.0,150,0.4,2048
98,98,1.508567800000037,483.0,14963.0,150,0.4,2048
99,99,1.518297900000107,483.0,15114.0,150,0.4,2048
100,100,1.5296195999999327,483.0,15265.0,150,0.4,2048
101,101,1.5404014000000643,483.0,15416.0,150,0.4,2048
102,102,1.5510527999999795,483.0,15567.0,150,0.4,2048
103,103,1.5652403999999933,483.0,15718.0,150,0.4,2048
104,104,1.5819547000000966,483.0,15869.0,150,0.4,2048
105,105,1.5991065000000617,483.0,16020.0,150,0.4,2048
106,106,1.6171544000001177,483.0,16171.0,150,0.4,2048
107,107,1.6360442000000148,483.0,16322.0,150,0.4,2048
108,108,1.6517226000000846,483.0,16473.0,150,0.4,2048
109,109,1.6702331999999842,483.0,16624.0,150,0.4,2048
110,110,1.692524800000001,483.0,16775.0,150,0.4,2048
111,111,1.716412400000081,483.0,16926.0,150,0.4,2048
112,112,1.7343287999999575,483.0,17077.0,150,0.4,2048
113,113,1.752046099999916,483.0,17228.0,150,0.4,2048
114,114,1.7675352000001112,483.0,17379.0,150,0.4,2048
115,115,1.7810167000000092,483.0,17530.0,150,0.4,2048
116,116,1.7937107000000196,483.0,17681.0,150,0.4,2048
117,117,1.8031184999999823,483.0,17832.0,150,0.4,2048
118,118,1.8159339999999702,483.0,17983.0,150,0.4,2048
119,119,1.829604700000118,483.0,18134.0,150,0.4,2048
