,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,298.0,150,0.004067099999929269,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",150,0.4,2048
1,1,344.0,302,0.023352500000100918,"[2, 4, 4, 2, 2, 4, 3, 2, 4, 3, 3, 2, 3, 1, 0, 4, 2, 3, 4, 3]",150,0.4,2048
2,2,376.0,454,0.036558700000114186,"[3, 3, 2, 2, 4, 4, 4, 1, 0, 0, 4, 4, 4, 0, 4, 3, 3, 3, 0, 3]",150,0.4,2048
3,4,397.0,758,0.0637590999999702,"[2, 4, 3, 4, 2, 4, 2, 4, 3, 1, 1, 4, 3, 4, 2, 4, 4, 0, 1, 4]",150,0.4,2048
4,8,436.0,1364,0.11553890000004685,"[2, 4, 2, 3, 4, 4, 2, 4, 1, 2, 4, 4, 4, 4, 3, 4, 4, 3, 0, 4]",150,0.4,2048
5,16,461.0,2574,0.21648000000004686,"[4, 4, 0, 3, 4, 4, 4, 4, 2, 0, 1, 4, 4, 4, 2, 4, 4, 3, 4, 4]",150,0.4,2048
6,32,481.0,4996,0.43493899999998575,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.4,2048
7,64,483.0,9829,0.8599165000000539,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.4,2048
8,128,483.0,19493,1.9304955000000064,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.4,2048
9,256,483.0,36858,3.6729517999999644,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.4,2048
10,512,483.0,36858,3.6729517999999644,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.4,2048
11,1024,483.0,36858,3.6729517999999644,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.4,2048
12,2048,483.0,36858,3.6729517999999644,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.4,2048
13,0,298.0,150,0.0034308000001601613,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",150,0.5,2048
14,1,382.0,302,0.01964270000007673,"[4, 4, 1, 3, 4, 4, 4, 4, 1, 3, 1, 3, 2, 0, 2, 4, 1, 3, 3, 4]",150,0.5,2048
15,2,393.0,454,0.03615380000019286,"[2, 0, 4, 2, 2, 2, 4, 4, 3, 2, 4, 4, 4, 4, 4, 4, 3, 4, 0, 4]",150,0.5,2048
16,4,400.0,757,0.06473879999998644,"[1, 4, 2, 2, 4, 3, 4, 2, 4, 1, 4, 4, 4, 0, 4, 4, 3, 3, 3, 4]",150,0.5,2048
17,8,443.0,1364,0.11893080000004375,"[1, 4, 4, 4, 4, 4, 4, 0, 1, 1, 3, 4, 4, 4, 4, 4, 4, 1, 4, 4]",150,0.5,2048
18,16,460.0,2573,0.303654300000062,"[3, 4, 1, 4, 4, 4, 4, 4, 1, 1, 0, 4, 4, 4, 2, 4, 4, 3, 4, 4]",150,0.5,2048
19,32,480.0,4991,0.5651016000001619,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 1, 1, 4, 4, 4, 4, 4, 4, 3, 4, 4]",150,0.5,2048
20,64,480.0,9823,0.9907554999999775,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 1, 1, 4, 4, 4, 4, 4, 4, 3, 4, 4]",150,0.5,2048
21,128,483.0,19488,1.7098230999999942,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.5,2048
22,256,483.0,38816,3.307605500000136,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.5,2048
23,512,483.0,45460,3.805381600000146,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.5,2048
24,1024,483.0,45460,3.805381600000146,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.5,2048
25,2048,483.0,45460,3.805381600000146,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.5,2048
26,0,298.0,150,0.0034435000000030414,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",150,0.6,2048
27,1,364.0,302,0.024997400000074776,"[1, 3, 4, 3, 4, 4, 3, 1, 1, 3, 0, 4, 4, 2, 3, 1, 4, 2, 1, 4]",150,0.6,2048
28,2,365.0,454,0.04616190000001552,"[1, 3, 4, 3, 2, 3, 4, 2, 0, 1, 3, 4, 4, 2, 3, 1, 4, 1, 4, 4]",150,0.6,2048
29,4,407.0,758,0.07944100000008802,"[4, 3, 2, 4, 3, 1, 4, 4, 0, 3, 3, 4, 3, 4, 0, 4, 4, 3, 1, 4]",150,0.6,2048
30,8,420.0,1364,0.13379329999997935,"[4, 4, 4, 3, 1, 4, 4, 4, 1, 3, 2, 3, 4, 4, 2, 3, 4, 3, 0, 4]",150,0.6,2048
31,16,451.0,2578,0.23170150000009926,"[4, 4, 3, 3, 4, 2, 4, 4, 0, 1, 4, 4, 4, 4, 2, 4, 4, 3, 1, 4]",150,0.6,2048
32,32,472.0,5001,0.4230306000001747,"[4, 4, 3, 4, 4, 4, 4, 3, 0, 0, 2, 4, 4, 4, 4, 4, 4, 3, 1, 4]",150,0.6,2048
33,64,483.0,9839,0.7990509999999631,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
34,128,483.0,19503,1.5478379000001041,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
35,256,483.0,38831,3.0483924000000115,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
36,512,483.0,38831,3.0483924000000115,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
37,1024,483.0,38831,3.0483924000000115,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
38,2048,483.0,38831,3.0483924000000115,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
39,0,298.0,200,0.0067504000001008535,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",200,0.4,2048
40,1,380.0,402,0.03319570000007843,"[3, 3, 4, 2, 0, 3, 4, 4, 3, 2, 3, 0, 4, 4, 4, 3, 4, 2, 4, 4]",200,0.4,2048
41,2,386.0,604,0.058717500000057044,"[1, 0, 2, 4, 3, 4, 3, 4, 2, 1, 4, 4, 4, 4, 2, 3, 2, 3, 3, 4]",200,0.4,2048
42,4,386.0,1006,0.09723910000002434,"[1, 0, 2, 4, 3, 4, 3, 4, 2, 1, 4, 4, 4, 4, 2, 3, 2, 3, 3, 4]",200,0.4,2048
