,FEvals,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
0,150,16.0,0,0.4,150,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.06241697399673285,2048
1,302,8.0,1,0.4,150,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.13481644899729872,2048
2,453,8.0,2,0.4,150,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.2081610479945084,2048
3,755,8.0,4,0.4,150,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.3490059879986802,2048
4,1361,5.0,8,0.4,150,"[5, 5, 9, 1, 10, 6, 0, 15, 0, 4, 13, 10, 14, 2, 11, 3]",0.6283698069964885,2048
5,2569,5.0,16,0.4,150,"[5, 5, 9, 1, 10, 6, 0, 15, 0, 4, 13, 10, 14, 2, 11, 3]",1.1742914479982574,2048
6,4987,3.0,32,0.4,150,"[5, 12, 10, 3, 13, 6, 4, 2, 0, 11, 14, 7, 9, 7, 1, 14]",2.2712880119943293,2048
7,9820,2.0,64,0.4,150,"[5, 1, 8, 10, 13, 6, 9, 15, 0, 0, 4, 7, 14, 3, 11, 4]",4.4629600339976605,2048
8,13144,0.0,128,0.4,150,"[5, 1, 8, 10, 13, 6, 9, 15, 12, 0, 2, 7, 14, 3, 11, 4]",5.998671093999292,2048
9,13144,0.0,256,0.4,150,"[5, 1, 8, 10, 13, 6, 9, 15, 12, 0, 2, 7, 14, 3, 11, 4]",5.998671093999292,2048
10,13144,0.0,512,0.4,150,"[5, 1, 8, 10, 13, 6, 9, 15, 12, 0, 2, 7, 14, 3, 11, 4]",5.998671093999292,2048
11,13144,0.0,1024,0.4,150,"[5, 1, 8, 10, 13, 6, 9, 15, 12, 0, 2, 7, 14, 3, 11, 4]",5.998671093999292,2048
12,13144,0.0,2048,0.4,150,"[5, 1, 8, 10, 13, 6, 9, 15, 12, 0, 2, 7, 14, 3, 11, 4]",5.998671093999292,2048
13,150,16.0,0,0.5,150,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.06292763699457282,2048
14,302,8.0,1,0.5,150,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.1375422599958256,2048
15,453,8.0,2,0.5,150,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.21199040899955435,2048
16,756,5.0,4,0.5,150,"[11, 10, 8, 1, 2, 7, 9, 15, 12, 14, 4, 10, 5, 13, 4, 6]",0.3549454629974207,2048
17,1360,5.0,8,0.5,150,"[11, 10, 8, 1, 2, 7, 9, 15, 12, 14, 4, 10, 5, 13, 4, 6]",0.635052113000711,2048
18,2568,5.0,16,0.5,150,"[11, 10, 8, 1, 2, 7, 9, 15, 12, 14, 4, 10, 5, 13, 4, 6]",1.1831909699976677,2048
19,4985,3.0,32,0.5,150,"[4, 1, 14, 9, 13, 5, 3, 6, 0, 10, 15, 13, 3, 7, 12, 8]",2.280531983000401,2048
20,9818,2.0,64,0.5,150,"[4, 1, 5, 11, 13, 0, 3, 9, 14, 2, 15, 10, 0, 7, 12, 8]",4.49534897099511,2048
21,19483,1.0,128,0.5,150,"[4, 1, 5, 11, 13, 0, 3, 9, 14, 10, 15, 2, 0, 7, 12, 8]",8.997917429995141,2048
