,FEvals,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
0,150.0,16.0,0,0.25,150,0.0616863370014471,2048,False
1,302.0,7.0,1,0.25,150,0.24750208300247323,2048,False
2,453.0,7.0,2,0.25,150,0.439357203002146,2048,False
3,605.0,6.0,3,0.25,150,0.6304416010025307,2048,False
4,756.0,6.0,4,0.25,150,0.8148033510005916,2048,False
5,907.0,6.0,5,0.25,150,1.0213023899996188,2048,False
6,1058.0,6.0,6,0.25,150,1.2325650280035916,2048,False
7,1209.0,6.0,7,0.25,150,1.42602096900373,2048,False
8,1360.0,6.0,8,0.25,150,1.6109304850033368,2048,False
9,1511.0,6.0,9,0.25,150,1.8001924160053022,2048,False
10,1662.0,6.0,10,0.25,150,1.9829596290001064,2048,False
11,1813.0,6.0,11,0.25,150,2.1667888770025456,2048,False
12,1964.0,6.0,12,0.25,150,2.3536234830025933,2048,False
13,2115.0,6.0,13,0.25,150,2.537178826001764,2048,False
14,2266.0,6.0,14,0.25,150,2.721820449005463,2048,False
15,2417.0,6.0,15,0.25,150,2.9033204709994607,2048,False
16,2568.0,6.0,16,0.25,150,3.084181450998585,2048,False
17,2719.0,6.0,17,0.25,150,3.2703272700018715,2048,False
18,2870.0,6.0,18,0.25,150,3.45612369900482,2048,False
19,3021.0,6.0,19,0.25,150,3.6386928889987757,2048,False
20,3172.0,6.0,20,0.25,150,3.8203866930052754,2048,False
21,3323.0,6.0,21,0.25,150,4.001408615004038,2048,False
22,3474.0,6.0,22,0.25,150,4.182841241999995,2048,False
23,3625.0,6.0,23,0.25,150,4.364580280001974,2048,False
24,3776.0,6.0,24,0.25,150,4.545553091003967,2048,False
25,3927.0,6.0,25,0.25,150,4.727901024998573,2048,False
26,4078.0,6.0,26,0.25,150,4.910983442001452,2048,False
27,4229.0,6.0,27,0.25,150,5.096115077001741,2048,False
28,4380.0,6.0,28,0.25,150,5.294384163003997,2048,False
29,4531.0,6.0,29,0.25,150,5.479007273002935,2048,False
30,4682.0,6.0,30,0.25,150,5.6608238680055365,2048,False
31,4833.0,6.0,31,0.25,150,5.843779611001082,2048,False
32,4984.0,6.0,32,0.25,150,6.025573765000445,2048,False
33,5135.0,6.0,33,0.25,150,6.213003807999485,2048,False
34,5286.0,6.0,34,0.25,150,6.394839900000079,2048,False
35,5437.0,6.0,35,0.25,150,6.577732352001476,2048,False
36,5588.0,6.0,36,0.25,150,6.759716116001073,2048,False
37,5739.0,6.0,37,0.25,150,6.941369954001857,2048,False
38,5890.0,6.0,38,0.25,150,7.123160790004476,2048,False
39,6041.0,6.0,39,0.25,150,7.304721354004869,2048,False
40,6192.0,6.0,40,0.25,150,7.493344412003353,2048,False
41,6343.0,6.0,41,0.25,150,7.674097344002803,2048,False
42,6494.0,6.0,42,0.25,150,7.855674421000003,2048,False
43,6645.0,6.0,43,0.25,150,8.036217723005393,2048,False
44,6796.0,6.0,44,0.25,150,8.217517807002878,2048,False
45,6947.0,6.0,45,0.25,150,8.399653234002471,2048,False
46,7098.0,6.0,46,0.25,150,8.600546886998927,2048,False
47,7249.0,6.0,47,0.25,150,8.815451619004307,2048,False
48,7400.0,6.0,48,0.25,150,9.019577412000217,2048,False
49,7551.0,6.0,49,0.25,150,9.20184108200192,2048,False
50,7702.0,6.0,50,0.25,150,9.38707117800368,2048,False
51,7853.0,6.0,51,0.25,150,9.574103858001763,2048,False
52,8004.0,6.0,52,0.25,150,9.754792163003003,2048,False
53,8155.0,6.0,53,0.25,150,9.935795744000643,2048,False
54,8306.0,6.0,54,0.25,150,10.116335828002775,2048,False
55,8457.0,6.0,55,0.25,150,10.296535061002942,2048,False
56,8608.0,6.0,56,0.25,150,10.480715814002906,2048,False
57,8759.0,6.0,57,0.25,150,10.66263104200334,2048,False
58,8910.0,6.0,58,0.25,150,10.844538328005001,2048,False
59,9061.0,6.0,59,0.25,150,11.027400812999986,2048,False
60,9212.0,6.0,60,0.25,150,11.208817026999895,2048,False
61,9363.0,6.0,61,0.25,150,11.390628423003363,2048,False
62,9514.0,6.0,62,0.25,150,11.573557533003623,2048,False
63,9665.0,6.0,63,0.25,150,11.754707077998319,2048,False
64,9816.0,6.0,64,0.25,150,11.935779471001297,2048,False
65,9967.0,6.0,65,0.25,150,12.122612336999737,2048,False
66,10118.0,6.0,66,0.25,150,12.303023412001494,2048,False
67,10269.0,6.0,67,0.25,150,12.487056418001885,2048,False
68,10420.0,6.0,68,0.25,150,12.668323060999683,2048,False
69,10571.0,6.0,69,0.25,150,12.849489592001191,2048,False
70,10722.0,6.0,70,0.25,150,13.030590415000916,2048,False
71,10873.0,6.0,71,0.25,150,13.210985434998292,2048,False
72,11024.0,6.0,72,0.25,150,13.39061926100112,2048,False
73,11175.0,6.0,73,0.25,150,13.572012101998553,2048,False
74,11326.0,6.0,74,0.25,150,13.752174847002607,2048,False
75,11477.0,6.0,75,0.25,150,13.932088690002274,2048,False
76,11628.0,6.0,76,0.25,150,14.113288897999155,2048,False
77,11779.0,6.0,77,0.25,150,14.2942034420048,2048,False
78,11930.0,6.0,78,0.25,150,14.480373979000433,2048,False
79,12081.0,6.0,79,0.25,150,14.658787747001043,2048,False
80,12232.0,6.0,80,0.25,150,14.843677937999018,2048,False
81,12383.0,6.0,81,0.25,150,15.021541754998907,2048,False
82,12534.0,6.0,82,0.25,150,15.199121834004472,2048,False
83,12685.0,6.0,83,0.25,150,15.380164520000108,2048,False
84,12836.0,6.0,84,0.25,150,15.55901612600428,2048,False
85,12987.0,6.0,85,0.25,150,15.741870693003875,2048,False
