,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.004495499999848107,298.0,150.0,False,150,0.25,2048
1,1,0.17755949999991572,428.0,302.0,False,150,0.25,2048
2,2,0.3393882999998823,428.0,453.0,False,150,0.25,2048
3,3,0.5052891999998792,443.0,605.0,False,150,0.25,2048
4,4,0.6662908999999217,443.0,756.0,False,150,0.25,2048
5,5,0.8312358999999105,452.0,908.0,False,150,0.25,2048
6,6,0.9816830999998274,457.0,1060.0,False,150,0.25,2048
7,7,1.1335351999998693,465.0,1212.0,False,150,0.25,2048
8,8,1.292359599999827,467.0,1364.0,False,150,0.25,2048
9,9,1.4494362999998884,467.0,1515.0,False,150,0.25,2048
10,10,1.6025687999999718,467.0,1666.0,False,150,0.25,2048
11,11,1.7572625999998763,467.0,1817.0,False,150,0.25,2048
12,12,1.9078634999998485,467.0,1968.0,False,150,0.25,2048
13,13,2.064743700000008,467.0,2119.0,False,150,0.25,2048
14,14,2.2169819999999163,467.0,2270.0,False,150,0.25,2048
15,15,2.370553399999835,467.0,2421.0,False,150,0.25,2048
16,16,2.5241082000000006,467.0,2572.0,False,150,0.25,2048
17,17,2.6783702999998695,467.0,2723.0,False,150,0.25,2048
18,18,2.8327222999998867,467.0,2874.0,False,150,0.25,2048
19,19,2.9857494999998835,467.0,3025.0,False,150,0.25,2048
20,20,3.1453252999999677,467.0,3176.0,False,150,0.25,2048
21,21,3.303571699999793,467.0,3327.0,False,150,0.25,2048
22,22,3.4698578999998517,467.0,3478.0,False,150,0.25,2048
23,23,3.626139299999977,467.0,3629.0,False,150,0.25,2048
24,24,3.7823411999997916,467.0,3780.0,False,150,0.25,2048
25,25,3.9347827999999936,467.0,3931.0,False,150,0.25,2048
26,26,4.099184499999865,467.0,4082.0,False,150,0.25,2048
27,27,4.243283999999903,467.0,4233.0,False,150,0.25,2048
28,28,4.3974889999999505,467.0,4384.0,False,150,0.25,2048
29,29,4.558327899999995,467.0,4535.0,False,150,0.25,2048
30,30,4.848739999999907,467.0,4686.0,False,150,0.25,2048
31,31,5.007513599999811,467.0,4837.0,False,150,0.25,2048
32,32,5.170416299999943,467.0,4988.0,False,150,0.25,2048
33,33,5.335412599999927,467.0,5139.0,False,150,0.25,2048
34,34,5.495787299999847,467.0,5290.0,False,150,0.25,2048
35,35,5.64759029999982,467.0,5441.0,False,150,0.25,2048
36,36,5.798130399999991,467.0,5592.0,False,150,0.25,2048
37,37,5.947307199999841,467.0,5743.0,False,150,0.25,2048
38,38,6.100328699999864,467.0,5894.0,False,150,0.25,2048
39,39,6.247670999999855,467.0,6045.0,False,150,0.25,2048
40,40,6.402415299999802,467.0,6196.0,False,150,0.25,2048
41,41,6.563282099999924,467.0,6347.0,False,150,0.25,2048
42,42,6.716017899999997,467.0,6498.0,False,150,0.25,2048
43,43,6.870140199999923,467.0,6649.0,False,150,0.25,2048
44,44,7.015993299999991,467.0,6800.0,False,150,0.25,2048
45,45,7.1660653999999795,467.0,6951.0,False,150,0.25,2048
46,46,7.316393500000004,467.0,7102.0,False,150,0.25,2048
47,47,7.471054499999809,467.0,7253.0,False,150,0.25,2048
48,48,7.661520999999993,467.0,7404.0,False,150,0.25,2048
