,FEvals,Fitness,Iteration,Keep Percent,Population Size,State,Time,max_iters,use_fast_mimic
0,150,16.0,0,0.25,150,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.0623388009989867,2048,False
1,302,7.0,1,0.25,150,"[15.0, 3.0, 8.0, 6.0, 2.0, 9.0, 5.0, 0.0, 13.0, 10.0, 0.0, 0.0, 13.0, 5.0, 14.0, 1.0]",0.25091856800281676,2048,False
2,453,7.0,2,0.25,150,"[15.0, 3.0, 8.0, 6.0, 2.0, 9.0, 5.0, 0.0, 13.0, 10.0, 0.0, 0.0, 13.0, 5.0, 14.0, 1.0]",0.44970508400001563,2048,False
3,756,6.0,4,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",0.8304697850035154,2048,False
4,1360,6.0,8,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",1.5786040169987245,2048,False
5,2568,6.0,16,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",3.0727228600007948,2048,False
6,4984,6.0,32,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",6.272408445001929,2048,False
7,9816,6.0,64,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",12.176172724997741,2048,False
8,19480,6.0,128,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",24.04322963499726,2048,False
9,30805,6.0,256,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",37.918491982003616,2048,False
10,30805,6.0,512,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",37.918491982003616,2048,False
11,30805,6.0,1024,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",37.918491982003616,2048,False
12,30805,6.0,2048,0.25,150,"[3.0, 5.0, 10.0, 12.0, 0.0, 6.0, 15.0, 13.0, 11.0, 9.0, 7.0, 2.0, 0.0, 3.0, 0.0, 14.0]",37.918491982003616,2048,False
13,150,16.0,0,0.5,150,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.06270321999909356,2048,False
14,302,8.0,1,0.5,150,"[3.0, 1.0, 4.0, 10.0, 15.0, 2.0, 4.0, 13.0, 13.0, 8.0, 7.0, 9.0, 6.0, 9.0, 0.0, 0.0]",0.25486176800040994,2048,False
15,453,8.0,2,0.5,150,"[3.0, 1.0, 4.0, 10.0, 15.0, 2.0, 4.0, 13.0, 13.0, 8.0, 7.0, 9.0, 6.0, 9.0, 0.0, 0.0]",0.4554936370041105,2048,False
16,755,8.0,4,0.5,150,"[3.0, 1.0, 4.0, 10.0, 15.0, 2.0, 4.0, 13.0, 13.0, 8.0, 7.0, 9.0, 6.0, 9.0, 0.0, 0.0]",0.8473016310017556,2048,False
17,1362,4.0,8,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",1.6679696830033208,2048,False
18,2570,4.0,16,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",3.2313533310007188,2048,False
19,4986,4.0,32,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",6.252547714000684,2048,False
20,9818,4.0,64,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",12.046739404002437,2048,False
21,19482,4.0,128,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",23.73522593799862,2048,False
22,31562,4.0,256,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",38.174469516998215,2048,False
23,31562,4.0,512,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",38.174469516998215,2048,False
24,31562,4.0,1024,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",38.174469516998215,2048,False
25,31562,4.0,2048,0.5,150,"[4.0, 13.0, 7.0, 6.0, 14.0, 11.0, 5.0, 15.0, 9.0, 1.0, 3.0, 8.0, 3.0, 8.0, 12.0, 10.0]",38.174469516998215,2048,False
26,150,16.0,0,0.75,150,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.06317719800426858,2048,False
27,302,8.0,1,0.75,150,"[15.0, 5.0, 8.0, 10.0, 5.0, 0.0, 15.0, 9.0, 13.0, 8.0, 4.0, 14.0, 12.0, 5.0, 14.0, 1.0]",0.26417946400033543,2048,False
28,453,8.0,2,0.75,150,"[15.0, 5.0, 8.0, 10.0, 5.0, 0.0, 15.0, 9.0, 13.0, 8.0, 4.0, 14.0, 12.0, 5.0, 14.0, 1.0]",0.5037794490053784,2048,False
29,755,8.0,4,0.75,150,"[15.0, 5.0, 8.0, 10.0, 5.0, 0.0, 15.0, 9.0, 13.0, 8.0, 4.0, 14.0, 12.0, 5.0, 14.0, 1.0]",0.9745632480044151,2048,False
30,1360,7.0,8,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",1.7942622690025019,2048,False
31,2568,7.0,16,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",3.3284862700020312,2048,False
32,4984,7.0,32,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",6.369651167005941,2048,False
33,9816,7.0,64,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",12.665022407003562,2048,False
34,19480,7.0,128,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",24.528833249001764,2048,False
35,31409,7.0,256,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",39.16506967299938,2048,False
36,31409,7.0,512,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",39.16506967299938,2048,False
37,31409,7.0,1024,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",39.16506967299938,2048,False
38,31409,7.0,2048,0.75,150,"[15.0, 10.0, 0.0, 11.0, 2.0, 4.0, 8.0, 1.0, 13.0, 4.0, 0.0, 12.0, 14.0, 9.0, 7.0, 1.0]",39.16506967299938,2048,False
39,200,16.0,0,0.25,200,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.08359358499728842,2048,False
40,402,8.0,1,0.25,200,"[5.0, 0.0, 12.0, 4.0, 8.0, 12.0, 13.0, 3.0, 6.0, 15.0, 1.0, 1.0, 14.0, 0.0, 6.0, 9.0]",0.3023859370005084,2048,False
41,604,6.0,2,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",0.5261535499957972,2048,False
42,1006,6.0,4,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",0.962880209001014,2048,False
43,1810,6.0,8,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",1.9123111009976128,2048,False
44,3418,6.0,16,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",3.5878109879995463,2048,False
45,6634,6.0,32,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",6.911180766997859,2048,False
46,13066,6.0,64,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",13.503154726000503,2048,False
47,25930,6.0,128,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",26.77078284399613,2048,False
48,40804,6.0,256,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",42.44134932599991,2048,False
49,40804,6.0,512,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",42.44134932599991,2048,False
50,40804,6.0,1024,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",42.44134932599991,2048,False
51,40804,6.0,2048,0.25,200,"[11.0, 2.0, 10.0, 1.0, 14.0, 9.0, 2.0, 13.0, 15.0, 1.0, 12.0, 4.0, 12.0, 12.0, 8.0, 4.0]",42.44134932599991,2048,False
52,200,16.0,0,0.5,200,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.08366791499429382,2048,False
53,402,7.0,1,0.5,200,"[4.0, 7.0, 11.0, 14.0, 6.0, 1.0, 9.0, 14.0, 14.0, 11.0, 13.0, 8.0, 0.0, 5.0, 2.0, 10.0]",0.3083858239988331,2048,False
54,603,7.0,2,0.5,200,"[4.0, 7.0, 11.0, 14.0, 6.0, 1.0, 9.0, 14.0, 14.0, 11.0, 13.0, 8.0, 0.0, 5.0, 2.0, 10.0]",0.5371473220002372,2048,False
55,1005,7.0,4,0.5,200,"[4.0, 7.0, 11.0, 14.0, 6.0, 1.0, 9.0, 14.0, 14.0, 11.0, 13.0, 8.0, 0.0, 5.0, 2.0, 10.0]",0.9844183839959442,2048,False
56,1810,6.0,8,0.5,200,"[4.0, 11.0, 8.0, 3.0, 1.0, 10.0, 15.0, 0.0, 15.0, 2.0, 12.0, 6.0, 6.0, 2.0, 0.0, 14.0]",1.918167664000066,2048,False
57,3419,5.0,16,0.5,200,"[0.0, 6.0, 12.0, 15.0, 1.0, 4.0, 2.0, 14.0, 12.0, 10.0, 3.0, 13.0, 0.0, 4.0, 9.0, 2.0]",3.6056870789980167,2048,False
58,6635,5.0,32,0.5,200,"[0.0, 6.0, 12.0, 15.0, 1.0, 4.0, 2.0, 14.0, 12.0, 10.0, 3.0, 13.0, 0.0, 4.0, 9.0, 2.0]",6.92424197299988,2048,False
59,13067,5.0,64,0.5,200,"[0.0, 6.0, 12.0, 15.0, 1.0, 4.0, 2.0, 14.0, 12.0, 10.0, 3.0, 13.0, 0.0, 4.0, 9.0, 2.0]",13.616934653997305,2048,False
60,25931,5.0,128,0.5,200,"[0.0, 6.0, 12.0, 15.0, 1.0, 4.0, 2.0, 14.0, 12.0, 10.0, 3.0, 13.0, 0.0, 4.0, 9.0, 2.0]",26.73763168599544,2048,False
61,42815,5.0,256,0.5,200,"[0.0, 6.0, 12.0, 15.0, 1.0, 4.0, 2.0, 14.0, 12.0, 10.0, 3.0, 13.0, 0.0, 4.0, 9.0, 2.0]",43.87350070599496,2048,False
62,42815,5.0,512,0.5,200,"[0.0, 6.0, 12.0, 15.0, 1.0, 4.0, 2.0, 14.0, 12.0, 10.0, 3.0, 13.0, 0.0, 4.0, 9.0, 2.0]",43.87350070599496,2048,False
63,42815,5.0,1024,0.5,200,"[0.0, 6.0, 12.0, 15.0, 1.0, 4.0, 2.0, 14.0, 12.0, 10.0, 3.0, 13.0, 0.0, 4.0, 9.0, 2.0]",43.87350070599496,2048,False
64,42815,5.0,2048,0.5,200,"[0.0, 6.0, 12.0, 15.0, 1.0, 4.0, 2.0, 14.0, 12.0, 10.0, 3.0, 13.0, 0.0, 4.0, 9.0, 2.0]",43.87350070599496,2048,False
65,200,16.0,0,0.75,200,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.08360967200133018,2048,False
66,402,8.0,1,0.75,200,"[0.0, 3.0, 6.0, 13.0, 9.0, 0.0, 3.0, 4.0, 15.0, 8.0, 8.0, 4.0, 14.0, 11.0, 5.0, 1.0]",0.3123884820015519,2048,False
67,604,6.0,2,0.75,200,"[0.0, 5.0, 8.0, 6.0, 14.0, 15.0, 4.0, 1.0, 9.0, 3.0, 15.0, 2.0, 7.0, 12.0, 0.0, 11.0]",0.556026436999673,2048,False
68,1006,6.0,4,0.75,200,"[0.0, 5.0, 8.0, 6.0, 14.0, 15.0, 4.0, 1.0, 9.0, 3.0, 15.0, 2.0, 7.0, 12.0, 0.0, 11.0]",1.007667494006455,2048,False
