,FEvals,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
0,0,4.0,0,50,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]",9.530199895380065e-05,0,2048
1,2,13.0,1,50,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]",0.006053309996786993,0,2048
2,3,13.0,2,50,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]",0.012120362000132445,0,2048
3,5,13.0,4,50,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]",0.016725954999856185,0,2048
4,9,13.0,8,50,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]",0.021062970998173114,0,2048
5,18,15.0,16,50,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1]",0.025643902998126578,0,2048
6,34,15.0,32,50,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1]",0.030704175995197147,0,2048
7,67,17.0,64,50,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0.0368680809988291,0,2048
8,131,17.0,128,50,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0.046152713999617845,0,2048
9,236,17.0,256,50,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0.06256916499842191,0,2048
10,236,17.0,512,50,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0.06256916499842191,0,2048
11,236,17.0,1024,50,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0.06256916499842191,0,2048
12,236,17.0,2048,50,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0.06256916499842191,0,2048
13,236,17.0,0,50,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0.06965246999607189,1,2048
14,237,17.0,1,50,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0.07643186800123658,1,2048
15,238,17.0,2,50,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0.08325536399934208,1,2048
