,FEvals,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
0,0,6.0,0,50,"[7, 4, 1, 6, 3, 3, 7, 7]",0.0006095850039855577,0,2048
1,2,5.0,1,50,"[7, 4, 1, 6, 1, 3, 7, 7]",0.02687256500212243,0,2048
2,4,4.0,2,50,"[7, 4, 1, 6, 1, 3, 0, 7]",0.03201268100383459,0,2048
3,6,4.0,4,50,"[7, 4, 1, 6, 1, 3, 0, 7]",0.03678445400146302,0,2048
4,11,3.0,8,50,"[7, 4, 1, 6, 0, 3, 0, 7]",0.0423024150004494,0,2048
5,19,3.0,16,50,"[7, 4, 1, 6, 0, 3, 0, 7]",0.0488439600012498,0,2048
6,35,3.0,32,50,"[7, 4, 1, 6, 0, 3, 0, 7]",0.057625571003882214,0,2048
7,68,2.0,64,50,"[2, 4, 1, 6, 0, 3, 0, 7]",0.07148225100536365,0,2048
8,132,2.0,128,50,"[2, 4, 1, 6, 0, 3, 0, 7]",0.10043118700559717,0,2048
9,260,2.0,256,50,"[2, 4, 1, 6, 0, 3, 0, 7]",0.1568552470052964,0,2048
10,262,2.0,512,50,"[2, 4, 1, 6, 0, 3, 0, 7]",0.1653809760027798,0,2048
11,262,2.0,1024,50,"[2, 4, 1, 6, 0, 3, 0, 7]",0.1653809760027798,0,2048
12,262,2.0,2048,50,"[2, 4, 1, 6, 0, 3, 0, 7]",0.1653809760027798,0,2048
13,262,7.0,0,50,"[0, 3, 2, 5, 2, 0, 1, 3]",0.1728328470053384,1,2048
14,264,6.0,1,50,"[0, 3, 3, 5, 2, 0, 1, 3]",0.18069540199940093,1,2048
15,265,6.0,2,50,"[0, 3, 3, 5, 2, 0, 1, 3]",0.18817008699988946,1,2048
16,267,6.0,4,50,"[0, 3, 3, 5, 2, 0, 1, 3]",0.1961591400031466,1,2048
17,271,6.0,8,50,"[0, 3, 3, 5, 2, 0, 1, 3]",0.20498979500553105,1,2048
18,281,3.0,16,50,"[0, 0, 7, 5, 2, 0, 1, 3]",0.217704507005692,1,2048
19,298,2.0,32,50,"[4, 0, 7, 5, 2, 0, 1, 3]",0.2322555110004032,1,2048
20,330,2.0,64,50,"[4, 0, 7, 5, 2, 0, 1, 3]",0.25320203400042374,1,2048
21,356,0.0,128,50,"[4, 0, 7, 5, 2, 6, 1, 3]",0.27258788200560957,1,2048
22,356,0.0,256,50,"[4, 0, 7, 5, 2, 6, 1, 3]",0.27258788200560957,1,2048
23,356,0.0,512,50,"[4, 0, 7, 5, 2, 6, 1, 3]",0.27258788200560957,1,2048
24,356,0.0,1024,50,"[4, 0, 7, 5, 2, 6, 1, 3]",0.27258788200560957,1,2048
25,356,0.0,2048,50,"[4, 0, 7, 5, 2, 6, 1, 3]",0.27258788200560957,1,2048
