,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,298.0,0,0.0001810999999989349,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",25,2048,0
1,1,298.0,1,0.009720699999999027,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",25,2048,0
2,2,314.0,3,0.017797800000000308,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 4, 3, 4, 4]",25,2048,0
3,4,315.0,6,0.024440899999998322,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 3, 0, 4, 0, 4, 0, 3, 4, 3, 4, 4]",25,2048,0
4,8,341.0,14,0.03384900000000002,"[4, 1, 3, 4, 4, 1, 1, 1, 4, 3, 0, 4, 0, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
5,16,369.0,24,0.03842069999999964,"[4, 1, 3, 4, 4, 1, 1, 4, 4, 3, 0, 4, 1, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
6,32,390.0,41,0.04800679999999957,"[4, 4, 3, 4, 4, 1, 1, 4, 4, 3, 0, 4, 1, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
7,64,390.0,73,0.05544039999999839,"[4, 4, 3, 4, 4, 1, 1, 4, 4, 3, 0, 4, 1, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
8,128,390.0,137,0.06973899999999844,"[4, 4, 3, 4, 4, 1, 1, 4, 4, 3, 0, 4, 1, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
9,256,390.0,227,0.08825359999999804,"[4, 4, 3, 4, 4, 1, 1, 4, 4, 3, 0, 4, 1, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
10,512,390.0,227,0.08825359999999804,"[4, 4, 3, 4, 4, 1, 1, 4, 4, 3, 0, 4, 1, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
11,1024,390.0,227,0.08825359999999804,"[4, 4, 3, 4, 4, 1, 1, 4, 4, 3, 0, 4, 1, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
12,2048,390.0,227,0.08825359999999804,"[4, 4, 3, 4, 4, 1, 1, 4, 4, 3, 0, 4, 1, 4, 2, 3, 4, 3, 4, 4]",25,2048,0
13,0,261.0,227,0.09820069999999959,"[2, 0, 4, 0, 4, 1, 4, 4, 1, 0, 1, 0, 2, 2, 0, 2, 4, 4, 1, 2]",25,2048,1
14,1,261.0,228,0.10341860000000125,"[2, 0, 4, 0, 4, 1, 4, 4, 1, 0, 1, 0, 2, 2, 0, 2, 4, 4, 1, 2]",25,2048,1
15,2,261.0,229,0.11151780000000144,"[2, 0, 4, 0, 4, 1, 4, 4, 1, 0, 1, 0, 2, 2, 0, 2, 4, 4, 1, 2]",25,2048,1
16,4,265.0,232,0.11695680000000053,"[2, 0, 4, 0, 4, 1, 4, 4, 1, 4, 1, 0, 2, 2, 0, 2, 4, 4, 1, 2]",25,2048,1
17,8,301.0,238,0.12265749999999898,"[2, 0, 4, 0, 4, 1, 4, 4, 1, 4, 1, 2, 2, 2, 0, 2, 4, 4, 1, 4]",25,2048,1
18,16,329.0,249,0.13101160000000078,"[2, 0, 4, 0, 4, 1, 4, 4, 3, 4, 3, 2, 2, 2, 4, 2, 4, 4, 1, 4]",25,2048,1
19,32,359.0,268,0.13867580000000146,"[2, 3, 4, 0, 4, 2, 4, 4, 3, 4, 3, 2, 2, 2, 4, 2, 4, 4, 1, 4]",25,2048,1
20,64,359.0,300,0.15174040000000133,"[2, 3, 4, 0, 4, 2, 4, 4, 3, 4, 3, 2, 2, 2, 4, 2, 4, 4, 1, 4]",25,2048,1
21,128,359.0,364,0.17152229999999946,"[2, 3, 4, 0, 4, 2, 4, 4, 3, 4, 3, 2, 2, 2, 4, 2, 4, 4, 1, 4]",25,2048,1
22,256,359.0,466,0.21040650000000127,"[2, 3, 4, 0, 4, 2, 4, 4, 3, 4, 3, 2, 2, 2, 4, 2, 4, 4, 1, 4]",25,2048,1
23,512,359.0,466,0.21040650000000127,"[2, 3, 4, 0, 4, 2, 4, 4, 3, 4, 3, 2, 2, 2, 4, 2, 4, 4, 1, 4]",25,2048,1
24,1024,359.0,466,0.21040650000000127,"[2, 3, 4, 0, 4, 2, 4, 4, 3, 4, 3, 2, 2, 2, 4, 2, 4, 4, 1, 4]",25,2048,1
25,2048,359.0,466,0.21040650000000127,"[2, 3, 4, 0, 4, 2, 4, 4, 3, 4, 3, 2, 2, 2, 4, 2, 4, 4, 1, 4]",25,2048,1
