,FEvals,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
0,0,16.0,0,25,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.0017918849989655428,0,2048
1,1,16.0,1,25,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.007756155995593872,0,2048
2,2,16.0,2,25,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.012408013993990608,0,2048
3,4,16.0,4,25,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.017530360993987415,0,2048
4,11,9.0,8,25,"[15, 4, 9, 13, 3, 3, 7, 7, 12, 9, 14, 8, 0, 9, 14, 10]",0.024888920997909736,0,2048
5,20,8.0,16,25,"[15, 4, 9, 13, 3, 3, 7, 5, 12, 9, 14, 8, 0, 9, 14, 10]",0.03335369299747981,0,2048
6,36,8.0,32,25,"[15, 4, 9, 13, 3, 3, 7, 5, 12, 9, 14, 8, 0, 9, 14, 10]",0.045460817993443925,0,2048
7,70,6.0,64,25,"[15, 4, 9, 13, 6, 3, 7, 5, 12, 14, 14, 8, 0, 9, 14, 10]",0.06599849899794208,0,2048
8,136,4.0,128,25,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.1030827459981083,0,2048
9,264,4.0,256,25,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.17638294700009283,0,2048
10,335,4.0,512,25,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.22397484599787276,0,2048
11,335,4.0,1024,25,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.22397484599787276,0,2048
12,335,4.0,2048,25,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.22397484599787276,0,2048
13,335,15.0,0,25,"[0, 15, 6, 2, 10, 13, 3, 1, 6, 7, 0, 0, 4, 7, 0, 2]",0.23266342900024028,1,2048
14,337,13.0,1,25,"[0, 15, 6, 2, 10, 13, 3, 1, 6, 6, 0, 0, 4, 7, 0, 2]",0.24178691300039645,1,2048
15,338,13.0,2,25,"[0, 15, 6, 2, 10, 13, 3, 1, 6, 6, 0, 0, 4, 7, 0, 2]",0.2501194839933305,1,2048
16,342,10.0,4,25,"[0, 15, 9, 2, 10, 13, 3, 1, 6, 6, 0, 0, 4, 7, 15, 2]",0.26010858199879294,1,2048
17,347,9.0,8,25,"[0, 15, 9, 2, 10, 13, 3, 1, 6, 11, 0, 0, 4, 7, 15, 2]",0.27059791299689095,1,2048
18,356,8.0,16,25,"[0, 15, 9, 2, 10, 13, 3, 1, 6, 14, 0, 0, 4, 7, 15, 2]",0.2835677829934866,1,2048
19,374,6.0,32,25,"[0, 15, 9, 2, 8, 13, 3, 1, 6, 14, 0, 2, 4, 7, 15, 2]",0.30194289999781176,1,2048
20,407,5.0,64,25,"[0, 15, 9, 2, 8, 13, 3, 1, 6, 14, 0, 2, 4, 7, 10, 2]",0.329656324996904,1,2048
21,472,4.0,128,25,"[0, 15, 9, 12, 8, 13, 3, 1, 6, 14, 0, 2, 4, 7, 10, 2]",0.37822751199564664,1,2048
22,601,3.0,256,25,"[0, 15, 9, 12, 8, 13, 3, 1, 6, 14, 11, 2, 4, 7, 10, 2]",0.4720184599937056,1,2048
23,756,3.0,512,25,"[0, 15, 9, 12, 8, 13, 3, 1, 6, 14, 11, 2, 4, 7, 10, 2]",0.5934377429948654,1,2048
24,756,3.0,1024,25,"[0, 15, 9, 12, 8, 13, 3, 1, 6, 14, 11, 2, 4, 7, 10, 2]",0.5934377429948654,1,2048
25,756,3.0,2048,25,"[0, 15, 9, 12, 8, 13, 3, 1, 6, 14, 11, 2, 4, 7, 10, 2]",0.5934377429948654,1,2048
26,756,18.0,0,25,"[9, 14, 13, 9, 8, 8, 6, 4, 14, 7, 4, 8, 0, 0, 9, 3]",0.6068230349992518,2,2048
27,758,17.0,1,25,"[9, 14, 13, 9, 8, 5, 6, 4, 14, 7, 4, 8, 0, 0, 9, 3]",0.6199073569950997,2,2048
28,760,16.0,2,25,"[9, 14, 13, 9, 8, 5, 6, 1, 14, 7, 4, 8, 0, 0, 9, 3]",0.6329620619944762,2,2048
29,763,15.0,4,25,"[9, 14, 13, 9, 8, 5, 6, 1, 13, 7, 4, 8, 0, 0, 9, 3]",0.6466499309972278,2,2048
