,FEvals,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,0,4.0,0,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]",5,8.037900261115283e-05,2048,4.999995960821773,0.99,5,0.001,geometric
1,2,13.0,1,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]",5,0.004885913003818132,2048,4.999754480694973,0.99,5,0.001,geometric
2,4,3.0,2,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1]",5,0.009406416997080669,2048,4.99952733409272,0.99,5,0.001,geometric
3,7,13.0,4,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]",5,0.014019592003023718,2048,4.99929554159003,0.99,5,0.001,geometric
4,14,13.0,8,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 1]",5,0.018787246001011226,2048,4.999055998464746,0.99,5,0.001,geometric
5,29,14.0,16,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",5,0.0239074540004367,2048,4.998798754611632,0.99,5,0.001,geometric
6,59,14.0,32,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",5,0.02954963900265284,2048,4.9985153014949795,0.99,5,0.001,geometric
7,111,14.0,64,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 1]",5,0.03652326900191838,2048,4.99816498121212,0.99,5,0.001,geometric
8,219,17.0,128,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",5,0.04718133700225735,2048,4.9976296206330275,0.99,5,0.001,geometric
9,413,18.0,256,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",5,0.0678390320026665,2048,4.996592136603245,0.99,5,0.001,geometric
10,654,18.0,512,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",5,0.1161388469990925,2048,4.9941672326757205,0.99,5,0.001,geometric
11,654,18.0,1024,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",5,0.1161388469990925,2048,4.9941672326757205,0.99,5,0.001,geometric
12,654,18.0,2048,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",5,0.1161388469990925,2048,4.9941672326757205,0.99,5,0.001,geometric
