,FEvals,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,0,69.0,0,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 19, 48, 1, 0, 16, 54, 31, 29, 44]",5,0.003305488993646577,2048,4.999833896386371,0.99,5,0.001,geometric
1,2,69.0,1,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 61, 6, 19, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 19, 48, 1, 0, 16, 54, 31, 29, 44]",5,0.011583567000343464,2048,4.999417940188317,0.99,5,0.001,geometric
2,3,69.0,2,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 61, 6, 19, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 19, 48, 1, 0, 16, 54, 31, 29, 44]",5,0.01778619099786738,2048,4.99910629391516,0.99,5,0.001,geometric
3,7,67.0,4,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 61, 6, 19, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 33, 48, 1, 0, 16, 54, 7, 29, 44]",5,0.028715319000184536,2048,4.998557215202389,0.99,5,0.001,geometric
4,14,69.0,8,"[47, 4, 25, 60, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 36, 63, 7, 44, 0, 11, 33, 61, 6, 19, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 33, 48, 1, 0, 16, 54, 7, 29, 44]",5,0.04445985100028338,2048,4.997766316909912,0.99,5,0.001,geometric
5,29,68.0,16,"[47, 4, 19, 11, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 12, 8, 39, 38, 4, 56, 63, 7, 44, 0, 11, 33, 61, 18, 58, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 9, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 33, 48, 1, 0, 16, 54, 7, 29, 44]",5,0.0729495829946245,2048,4.9963355044618885,0.99,5,0.001,geometric
6,60,63.0,32,"[47, 4, 19, 30, 44, 37, 21, 17, 55, 57, 14, 23, 6, 25, 46, 60, 12, 8, 39, 38, 4, 56, 63, 14, 44, 0, 11, 33, 61, 18, 58, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 30, 0, 34, 27, 9, 14, 38, 4, 46, 9, 23, 42, 3, 8, 33, 48, 1, 55, 16, 20, 7, 29, 44]",5,0.12669754099624697,2048,4.993637287654511,0.99,5,0.001,geometric
7,119,53.0,64,"[47, 4, 19, 30, 44, 37, 21, 17, 55, 23, 14, 23, 6, 25, 46, 49, 49, 5, 39, 38, 4, 19, 63, 32, 44, 50, 11, 15, 54, 18, 58, 60, 54, 45, 5, 56, 7, 55, 18, 48, 59, 39, 0, 1, 27, 9, 53, 38, 56, 29, 9, 23, 42, 3, 13, 33, 52, 13, 10, 16, 20, 7, 29, 18]",5,0.22534233399346704,2048,4.988688982546103,0.99,5,0.001,geometric
8,235,41.0,128,"[47, 4, 12, 30, 47, 37, 21, 21, 45, 45, 14, 48, 50, 25, 46, 10, 47, 34, 40, 38, 0, 2, 18, 32, 3, 50, 11, 4, 8, 50, 58, 29, 40, 16, 5, 56, 5, 55, 32, 48, 29, 39, 32, 1, 49, 51, 53, 38, 43, 47, 9, 23, 42, 3, 24, 40, 52, 13, 28, 56, 33, 60, 63, 18]",5,0.41690021399699617,2048,4.97909389290551,0.99,5,0.001,geometric
9,425,34.0,256,"[46, 4, 48, 30, 63, 37, 21, 49, 45, 6, 14, 1, 53, 25, 47, 3, 61, 11, 40, 38, 8, 2, 35, 44, 12, 50, 40, 2, 7, 15, 4, 48, 55, 0, 5, 33, 0, 55, 26, 63, 29, 39, 59, 27, 49, 51, 28, 5, 17, 49, 9, 62, 25, 32, 24, 40, 52, 13, 8, 50, 23, 60, 63, 18]",5,0.7345682710001711,2048,4.963222635237121,0.99,5,0.001,geometric
10,733,17.0,512,"[46, 59, 39, 30, 18, 37, 21, 49, 63, 6, 14, 1, 53, 42, 47, 54, 34, 11, 31, 38, 20, 5, 3, 44, 27, 33, 46, 2, 7, 15, 4, 23, 61, 10, 5, 33, 0, 55, 26, 51, 2, 43, 59, 30, 19, 55, 28, 36, 55, 48, 9, 62, 25, 45, 24, 27, 52, 50, 8, 50, 16, 60, 63, 32]",5,1.36470865499723,2048,4.931889262095832,0.99,5,0.001,geometric
11,1294,8.0,1024,"[30, 52, 39, 60, 13, 37, 21, 43, 63, 6, 14, 35, 53, 57, 47, 54, 56, 11, 22, 38, 40, 17, 3, 44, 27, 8, 11, 18, 7, 15, 4, 58, 61, 10, 5, 33, 0, 19, 26, 51, 42, 55, 59, 49, 31, 55, 59, 36, 10, 48, 9, 62, 25, 45, 24, 0, 32, 50, 48, 20, 16, 1, 40, 23]",5,2.6629848319935263,2048,4.867955435487074,0.99,5,0.001,geometric
12,2347,6.0,2048,"[7, 21, 39, 60, 50, 37, 41, 43, 63, 6, 14, 35, 61, 57, 47, 54, 56, 11, 13, 38, 46, 17, 30, 44, 27, 8, 11, 18, 7, 15, 4, 58, 48, 62, 5, 33, 12, 19, 2, 51, 42, 19, 59, 49, 31, 55, 3, 36, 10, 48, 9, 52, 25, 45, 24, 0, 40, 50, 48, 20, 16, 1, 29, 23]",5,5.098240814993915,2048,4.750257751183431,0.99,5,0.001,geometric
