,FEvals,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,0,13.0,0,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0.1,0.00020365799719002098,2048,0.09999979531708238,0.99,0.1,0.001,geometric
1,2,13.0,1,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0.1,0.00553325199871324,2048,0.09999443905053162,0.99,0.1,0.001,geometric
2,4,13.0,2,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0.1,0.010255134999169968,2048,0.09998969377603129,0.99,0.1,0.001,geometric
3,7,13.0,4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0.1,0.015057578995765653,2048,0.09998486777243226,0.99,0.1,0.001,geometric
4,12,15.0,8,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",0.1,0.020045771001605317,2048,0.09997985535620506,0.99,0.1,0.001,geometric
5,22,17.0,16,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",0.1,0.025520826995489188,2048,0.09997435400089234,0.99,0.1,0.001,geometric
6,42,17.0,32,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",0.1,0.03206933299952652,2048,0.09996777443682611,0.99,0.1,0.001,geometric
7,81,17.0,64,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",0.1,0.04086468999594217,2048,0.09995893804682765,0.99,0.1,0.001,geometric
8,160,17.0,128,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",0.1,0.05510612500074785,2048,0.09994463182744871,0.99,0.1,0.001,geometric
9,314,17.0,256,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",0.1,0.0835010910013807,2048,0.09991611380328923,0.99,0.1,0.001,geometric
10,410,19.0,512,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0.1,0.1087935519972234,2048,0.09989071858205334,0.99,0.1,0.001,geometric
11,410,19.0,1024,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0.1,0.1087935519972234,2048,0.09989071858205334,0.99,0.1,0.001,geometric
12,410,19.0,2048,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0.1,0.1087935519972234,2048,0.09989071858205334,0.99,0.1,0.001,geometric
13,0,13.0,0,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0.5,0.0001836809969972819,2048,0.4999990769729971,0.99,0.5,0.001,geometric
14,2,13.0,1,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0.5,0.008162508995155804,2048,0.49995898370402425,0.99,0.5,0.001,geometric
15,4,13.0,2,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0.5,0.016225392995693255,2048,0.4999184713231669,0.99,0.5,0.001,geometric
16,7,13.0,4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0.5,0.02439113899890799,2048,0.4998774454526776,0.99,0.5,0.001,geometric
17,12,15.0,8,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",0.5,0.0326903780005523,2048,0.4998357523441601,0.99,0.5,0.001,geometric
18,24,17.0,16,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",0.5,0.04158601399831241,2048,0.49979106696143344,0.99,0.5,0.001,geometric
19,44,17.0,32,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",0.5,0.05146333899756428,2048,0.4997414549480622,0.99,0.5,0.001,geometric
20,83,17.0,64,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",0.5,0.06363763700210257,2048,0.4996803124313281,0.99,0.5,0.001,geometric
21,161,17.0,128,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",0.5,0.08115108899801271,2048,0.49959236840423077,0.99,0.5,0.001,geometric
22,316,17.0,256,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",0.5,0.11246208599914098,2048,0.4994351783963644,0.99,0.5,0.001,geometric
23,413,19.0,512,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0.5,0.14734813399991253,2048,0.49926009887731065,0.99,0.5,0.001,geometric
24,413,19.0,1024,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0.5,0.14734813399991253,2048,0.49926009887731065,0.99,0.5,0.001,geometric
25,413,19.0,2048,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0.5,0.14734813399991253,2048,0.49926009887731065,0.99,0.5,0.001,geometric
26,0,13.0,0,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",1,0.00017276699509238824,2048,0.9999982636351824,0.99,1.0,0.001,geometric
27,2,13.0,1,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",1,0.011322004997055046,2048,0.9998862165210757,0.99,1.0,0.001,geometric
28,4,13.0,2,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",1,0.02262128299480537,2048,0.999772674350857,0.99,1.0,0.001,geometric
29,7,13.0,4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",1,0.0337435689943959,2048,0.9996609232982135,0.99,1.0,0.001,geometric
30,12,15.0,8,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0.04525253399333451,2048,0.9995453002424272,0.99,1.0,0.001,geometric
31,24,17.0,16,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0.05726050199882593,2048,0.9994246782848133,0.99,1.0,0.001,geometric
32,46,18.0,32,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]",1,0.07025979500031099,2048,0.9992941147175682,0.99,1.0,0.001,geometric
33,83,18.0,64,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",1,0.08528165499592433,2048,0.9991432579383815,0.99,1.0,0.001,geometric
34,157,16.0,128,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0]",1,0.10556320499745198,2048,0.9989396169398729,0.99,1.0,0.001,geometric
35,304,18.0,256,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]",1,0.13954875600029482,2048,0.9985984711943873,0.99,1.0,0.001,geometric
36,590,18.0,512,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",1,0.2154349389966228,2048,0.9978371488490879,0.99,1.0,0.001,geometric
37,1149,18.0,1024,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]",1,0.43043617999501294,2048,0.9956833156087501,0.99,1.0,0.001,geometric
38,1325,19.0,2048,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",1,0.5361866079983884,2048,0.9946256383444673,0.99,1.0,0.001,geometric
39,0,13.0,0,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",10,0.00017888000002130866,2048,9.999982021975383,0.99,10.0,0.001,geometric
40,2,13.0,1,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",10,0.02185544399981154,2048,9.997803695698694,0.99,10.0,0.001,geometric
41,4,13.0,2,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",10,0.043363758995838,2048,9.995642746141115,0.99,10.0,0.001,geometric
42,8,11.0,4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",10,0.06530383700010134,2048,9.993438898400916,0.99,10.0,0.001,geometric
