,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,298.0,0,0.0001391999999214022,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09999986009942285,0.1,2048
1,1,298.0,1,0.372125300000107,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09962670007858077,0.1,2048
2,2,314.0,3,0.3759503000001132,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.0996228702493266,0.1,2048
3,4,329.0,6,0.3811889000000974,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 3, 3, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09961762527422502,0.1,2048
4,8,337.0,12,0.38604450000002544,"[4, 1, 3, 4, 4, 1, 0, 1, 4, 2, 0, 4, 0, 4, 3, 3, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.0996127640118085,0.1,2048
5,16,386.0,23,0.3900306000000455,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 3, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09960877344067909,0.1,2048
6,32,396.0,40,0.39489449999996395,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09960390430148748,0.1,2048
7,64,396.0,72,0.40423170000008213,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09959455771086338,0.1,2048
8,128,396.0,136,0.4188020999999935,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09957997440922818,0.1,2048
9,256,396.0,231,0.43911370000000716,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09955964838714017,0.1,2048
10,512,396.0,231,0.43911370000000716,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09955964838714017,0.1,2048
11,1024,396.0,231,0.43911370000000716,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09955964838714017,0.1,2048
12,2048,396.0,231,0.43911370000000716,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.1,0.99,0.001,0.09955964838714017,0.1,2048
13,0,298.0,0,0.0001220999999986816,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",geometric,0.5,0.99,0.001,0.4999993864273726,0.5,2048
14,1,298.0,1,0.005411699999967823,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",geometric,0.5,0.99,0.001,0.4999728060382693,0.5,2048
15,2,314.0,3,0.012278899999955684,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.499938300272714,0.5,2048
16,4,329.0,6,0.017125800000030722,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 3, 3, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.4999139473850222,0.5,2048
17,8,337.0,12,0.022694000000001324,"[4, 1, 3, 4, 4, 1, 0, 1, 4, 2, 0, 4, 0, 4, 3, 3, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.499885971843468,0.5,2048
18,16,386.0,23,0.030128599999898142,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 3, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.49984862164563504,0.5,2048
19,32,396.0,40,0.03624339999987569,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.499817903995772,0.5,2048
20,64,396.0,72,0.04643749999991087,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.499766698211064,0.5,2048
21,128,396.0,136,0.060982799999919735,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.4996936450810475,0.5,2048
22,256,396.0,231,0.0824296000000686,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.49958594895084046,0.5,2048
23,512,396.0,231,0.0824296000000686,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.49958594895084046,0.5,2048
24,1024,396.0,231,0.0824296000000686,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.49958594895084046,0.5,2048
25,2048,396.0,231,0.0824296000000686,"[4, 4, 3, 4, 4, 1, 0, 4, 4, 2, 0, 4, 1, 4, 3, 4, 4, 3, 4, 4]",geometric,0.5,0.99,0.001,0.49958594895084046,0.5,2048
26,0,298.0,0,0.00010790000010274525,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",geometric,1.0,0.99,0.001,0.9999989155693484,1,2048
27,1,298.0,1,0.008603600000014922,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",geometric,1.0,0.99,0.001,0.999913534668793,1,2048
28,2,314.0,3,0.015609100000119724,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 4, 3, 4, 4]",geometric,1.0,0.99,0.001,0.9998431356071336,1,2048
29,4,329.0,6,0.024643200000127763,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 3, 3, 4, 3, 4, 4]",geometric,1.0,0.99,0.001,0.9997523582317797,1,2048
30,8,337.0,12,0.03264520000016091,"[4, 1, 3, 4, 4, 1, 0, 1, 4, 2, 0, 4, 0, 4, 3, 3, 4, 3, 4, 4]",geometric,1.0,0.99,0.001,0.9996719585933458,1,2048
