,FEvals,Fitness,Iteration,State,Temperature,Time,max_iters,schedule_current_value,schedule_decay,schedule_init_temp,schedule_min_temp,schedule_type
0,0,16.0,0,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.1,0.0010551260056672618,2048,0.09999893956855015,0.99,0.1,0.001,geometric
1,1,16.0,1,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.1,0.007485804999305401,2048,0.0999924767975694,0.99,0.1,0.001,geometric
2,2,16.0,2,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.1,0.012752410999382846,2048,0.0999871842199427,0.99,0.1,0.001,geometric
3,6,10.0,4,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 8, 0, 9, 14, 10]",0.1,0.01930115499999374,2048,0.09998060357233927,0.99,0.1,0.001,geometric
4,12,9.0,8,"[15, 4, 9, 6, 3, 3, 7, 5, 12, 9, 6, 8, 0, 9, 14, 10]",0.1,0.026806863003002945,2048,0.0999730618313405,0.99,0.1,0.001,geometric
5,23,9.0,16,"[15, 4, 8, 0, 3, 3, 7, 5, 12, 9, 6, 8, 13, 9, 14, 10]",0.1,0.03673802200501086,2048,0.09996308386970645,0.99,0.1,0.001,geometric
6,46,6.0,32,"[15, 4, 8, 0, 3, 3, 7, 5, 12, 14, 11, 3, 14, 9, 14, 10]",0.1,0.05232500900456216,2048,0.09994742543386763,0.99,0.1,0.001,geometric
7,82,4.0,64,"[15, 4, 8, 0, 3, 11, 7, 5, 12, 14, 1, 13, 14, 9, 14, 10]",0.1,0.07514789199922234,2048,0.0999245023584943,0.99,0.1,0.001,geometric
8,157,4.0,128,"[3, 4, 12, 10, 0, 11, 15, 5, 12, 6, 1, 13, 6, 8, 14, 2]",0.1,0.11866097299935063,2048,0.09988081282127115,0.99,0.1,0.001,geometric
9,295,3.0,256,"[8, 0, 12, 10, 3, 11, 15, 5, 1, 6, 1, 13, 4, 9, 14, 2]",0.1,0.2001832000023569,2048,0.09979901141388274,0.99,0.1,0.001,geometric
10,565,1.0,512,"[8, 7, 12, 10, 3, 6, 15, 11, 1, 14, 0, 13, 4, 9, 5, 2]",0.1,0.37489321600151015,2048,0.09962392865322496,0.99,0.1,0.001,geometric
11,855,0.0,1024,"[8, 4, 12, 10, 3, 6, 15, 5, 1, 14, 0, 13, 7, 9, 11, 2]",0.1,0.6166276340009063,2048,0.09938218489288582,0.99,0.1,0.001,geometric
12,855,0.0,2048,"[8, 4, 12, 10, 3, 6, 15, 5, 1, 14, 0, 13, 7, 9, 11, 2]",0.1,0.6166276340009063,2048,0.09938218489288582,0.99,0.1,0.001,geometric
13,0,16.0,0,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.5,0.0009685860059107654,2048,0.4999951327163594,0.99,0.5,0.001,geometric
14,1,16.0,1,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.5,0.013307708002685104,2048,0.4999331310044276,0.99,0.5,0.001,geometric
15,2,16.0,2,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.5,0.025740765006048605,2048,0.4998706650636925,0.99,0.5,0.001,geometric
16,6,10.0,4,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 8, 0, 9, 14, 10]",0.5,0.03937745700386586,2048,0.4998021608166973,0.99,0.5,0.001,geometric
17,12,9.0,8,"[15, 4, 9, 6, 3, 3, 7, 5, 12, 9, 6, 8, 0, 9, 14, 10]",0.5,0.053833942001801915,2048,0.49972954857164364,0.99,0.5,0.001,geometric
18,23,9.0,16,"[15, 4, 8, 0, 3, 3, 7, 5, 12, 9, 6, 8, 13, 9, 14, 10]",0.5,0.07125644800544251,2048,0.499642052570454,0.99,0.5,0.001,geometric
19,46,6.0,32,"[15, 4, 8, 0, 3, 3, 7, 5, 12, 14, 11, 3, 14, 9, 14, 10]",0.5,0.09436714800540358,2048,0.49952601403927893,0.99,0.5,0.001,geometric
20,82,4.0,64,"[15, 4, 8, 0, 3, 11, 7, 5, 12, 14, 1, 13, 14, 9, 14, 10]",0.5,0.12386645300284727,2048,0.49937793755610604,0.99,0.5,0.001,geometric
21,157,4.0,128,"[3, 4, 12, 10, 0, 11, 15, 5, 12, 6, 1, 13, 6, 8, 14, 2]",0.5,0.17347543100186158,2048,0.49912901632275436,0.99,0.5,0.001,geometric
22,295,3.0,256,"[8, 0, 12, 10, 3, 11, 15, 5, 1, 6, 1, 13, 4, 9, 14, 2]",0.5,0.2618706050052424,2048,0.498685786424541,0.99,0.5,0.001,geometric
23,565,1.0,512,"[8, 7, 12, 10, 3, 6, 15, 11, 1, 14, 0, 13, 4, 9, 5, 2]",0.5,0.4424905070045497,2048,0.49778134792348644,0.99,0.5,0.001,geometric
24,855,0.0,1024,"[8, 4, 12, 10, 3, 6, 15, 5, 1, 14, 0, 13, 7, 9, 11, 2]",0.5,0.6651898960044491,2048,0.4966684577937291,0.99,0.5,0.001,geometric
25,855,0.0,2048,"[8, 4, 12, 10, 3, 6, 15, 5, 1, 14, 0, 13, 7, 9, 11, 2]",0.5,0.6651898960044491,2048,0.4966684577937291,0.99,0.5,0.001,geometric
26,0,16.0,0,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",1,0.0010130169976036996,2048,0.9999898188907766,0.99,1.0,0.001,geometric
27,1,16.0,1,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",1,0.02048344299691962,2048,0.9997941557072891,0.99,1.0,0.001,geometric
28,2,16.0,2,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",1,0.04028607399959583,2048,0.9995951933824022,0.99,1.0,0.001,geometric
29,6,10.0,4,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 8, 0, 9, 14, 10]",1,0.061275009997189045,2048,0.999384355157204,0.99,1.0,0.001,geometric
30,13,10.0,8,"[11, 4, 9, 6, 3, 3, 7, 5, 12, 9, 6, 8, 0, 9, 14, 10]",1,0.08393410699500237,2048,0.9991567897368787,0.99,1.0,0.001,geometric
31,26,9.0,16,"[11, 4, 8, 0, 3, 3, 7, 11, 12, 15, 6, 8, 13, 9, 14, 10]",1,0.109486419998575,2048,0.9989002298985095,0.99,1.0,0.001,geometric
32,48,8.0,32,"[14, 4, 8, 0, 3, 3, 7, 11, 12, 15, 6, 3, 14, 9, 14, 10]",1,0.13937364199955482,2048,0.9986002286838269,0.99,1.0,0.001,geometric
